total_id,scientificName,kingdomName,phylumName,className,orderName,familyName,redlistCategory,marine_regions,url
190217/21908841,Platytroctes apus,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,PLATYTROCTIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190217/21908841
21132889/21909179,Aristostomias grimaldii,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132889/21909179
21132898/21909184,Aristostomias polydactylus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132898/21909184
21132901/21909189,Aristostomias xenostoma,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132901/21909189
18256447/21909199,Astronesthes gemmifer,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Data Deficient,Atlantic Eastern Central,https://www.iucnredlist.org/species/18256447/21909199
21132910/21909204,Astronesthes indicus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132910/21909204
190229/21909209,Astronesthes leucopogon,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190229/21909209
190360/21909214,Astronesthes macropogon,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190360/21909214
21132914/21909219,Astronesthes micropogon,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132914/21909219
21132917/21909224,Astronesthes neopogon,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132917/21909224
190361/21909229,Astronesthes niger,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190361/21909229
190435/21909239,Astronesthes zharovi,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190435/21909239
21132928/21909249,Bathophilus brevis,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132928/21909249
18256458/21909254,Bathophilus digitatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18256458/21909254
21132935/21909264,Bathophilus longipinnis,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132935/21909264
198761/21909269,Bathophilus nigerrimus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/198761/21909269
21132953/21909274,Bathophilus pawneei,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132953/21909274
18256490/21909279,Bathophilus vaillanti,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/18256490/21909279
198762/21909284,Borostomias antarcticus,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/198762/21909284
21132963/21909289,Borostomias elucens,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/21132963/21909289
190359/21909294,Borostomias mononema,ANIMALIA,CHORDATA,ACTINOPTERYGII,STOMIIFORMES,STOMIIDAE,Least Concern,Atlantic Eastern Central,https://www.iucnredlist.org/species/190359/21909294
