internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
59618,Ichthyophis glutinosus,ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,ICHTHYOPHIIDAE,Ichthyophis,glutinosus,,,,,"(Linnaeus, 1758)","This is a poorly circumscribed species in need of taxonomic review (M. Wilkinson pers. comm.). Specimens from Welegama resemble <em>Ichthyophis glutinosus</em>, but appear to be more closely related to <em>I. orthoplicatus</em>. They could represent an undescribed cryptic species (Gower <em>et al.</em> 2005)."
59628,Ichthyophis orthoplicatus,ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,ICHTHYOPHIIDAE,Ichthyophis,orthoplicatus,,,,,"Taylor, 1965","Specimens from Welegama resemble <i>Ichthyophis glutinosus</i>, but appear to be more closely related to <i>I. orthoplicatus</i>. They could represent an undescribed cryptic species (Gower <i>et al.</i> 2005)."
59631,Ichthyophis pseudangularis,ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,ICHTHYOPHIIDAE,Ichthyophis,pseudangularis,,,,,"Taylor, 1965",
61879,Pseudophilautus frankenbergi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,frankenbergi,,,,,"(Meegaskumbura &amp; Manamendra-Arachchi, 2005)",
61883,Pseudophilautus mittermeieri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,mittermeieri,,,,,"(Meegaskumbura &amp; Manamendra-Arachchi, 2005)",
61884,Pseudophilautus mooreorum,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,mooreorum,,,,,"(Meegaskumbura &amp; Manamendra-Arachchi, 2005)",
61887,Pseudophilautus poppiae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,poppiae,,,,,"(Meegaskumbura &amp; Manamendra-Arachchi, 2005)",
61888,Pseudophilautus steineri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,steineri,,,,,"(Meegaskumbura &amp; Manamendra-Arachchi, 2005)",
135839,Nannophrys naeyakai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Nannophrys,naeyakai,,,,,"Fernando, Wickramasingha &amp; Rodirigo, 2007",
136000,Pseudophilautus maia,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,maia,,,,,"(Meegaskumbura, Manamendra-Arachchi, Schneider &amp; Pethiyagoda, 2007)",
136163,Pseudophilautus pardus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,pardus,,,,,"(Meegaskumbura, Manamendra-Arachchi, Schneider &amp; Pethiyagoda, 2007)",
187831,Pseudophilautus singu,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,singu,,,,,"(Meegaskumbura, Manamendra-Arachchi &amp; Pethiyagoda, 2009)",
187832,Pseudophilautus tanu,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,tanu,,,,,"(Meegaskumbura, Manamendra-Arachchi &amp; Pethiyagoda, 2009)",
79101722,Pseudophilautus bambaradeniyai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,bambaradeniyai,,,,,"Wickramasinghe, Vidanapathirana, Rajeev, Ariyarathne, Chanaka, Priyantha, Bandara &amp; Wickramasinghe, 2013",
79101728,Pseudophilautus dayawansai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,dayawansai,,,,,"Wickramasinghe, Vidanapathirana, Rajeev, Ariyarathne, Chanaka, Priyantha, Bandara &amp; Wickramasinghe, 2013",
79101734,Pseudophilautus hankeni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,hankeni,,,,,"Meegaskumbura &amp; Manamendra-Arachchi, 2011",
79101737,Pseudophilautus jagathgunawardanai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,jagathgunawardanai,,,,,"Wickramasinghe, Vidanapathirana, Rajeev, Ariyarathne, Chanaka, Priyantha, Bandara &amp; Wickramasinghe, 2013",
79101750,Pseudophilautus karunarathnai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,karunarathnai,,,,,"Wickramasinghe, Vidanapathirana, Rajeev, Ariyarathne, Chanaka, Priyantha, Bandara &amp; Wickramasinghe, 2013",
79101755,Pseudophilautus newtonjayawardanei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,newtonjayawardanei,,,,,"Wickramasinghe, Vidanapathirana, Rajeev, Ariyarathne, Chanaka, Priyantha, Bandara &amp; Wickramasinghe, 2013",
79101760,Pseudophilautus puranappu,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,puranappu,,,,,"Wickramasinghe, Vidanapathirana, Rajeev, Ariyarathne, Chanaka, Priyantha, Bandara &amp; Wickramasinghe, 2013",
79101771,Pseudophilautus samarakoon,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,samarakoon,,,,,"Wickramasinghe, Vidanapathirana, Rajeev, Ariyarathne, Chanaka, Priyantha, Bandara &amp; Wickramasinghe, 2013",
79101776,Pseudophilautus schneideri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,schneideri,,,,,"Meegaskumbura &amp; Manamendra-Arachchi, 2011",
79101779,Pseudophilautus sirilwijesundarai,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,sirilwijesundarai,,,,,"Wickramasinghe, Vidanapathirana, Rajeev, Ariyarathne, Chanaka, Priyantha, Bandara &amp; Wickramasinghe, 2013",
